Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2016","2016","1000 USD","19147082.51","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2017","2017","1000 USD","12558374.37","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2017","2017","1000 USD","20001148.22","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2018","2018","1000 USD","13020899.61","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2018","2018","1000 USD","18788607.48","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2019","2019","1000 USD","12788794.87","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2019","2019","1000 USD","18361586.01","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2020","2020","1000 USD","13696704.4","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2020","2020","1000 USD","19873392.87","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2021","2021","1000 USD","16769814.65","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2021","2021","1000 USD","26631833.4","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2022","2022","1000 USD","19174784.57","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2022","2022","1000 USD","30906208.96","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2023","2023","1000 USD","17880594.11","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2023","2023","1000 USD","24530176.83","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2024","2024","1000 USD","20741590.82","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2024","2024","1000 USD","27808577.87","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1961","1961","t","11759","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1961","1961","1000 USD","2857","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1961","1961","t","141651","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1961","1961","1000 USD","30180","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1962","1962","t","11955","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1962","1962","1000 USD","2996","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1962","1962","t","145911","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1962","1962","1000 USD","29807","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1963","1963","t","8778","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1788","Vegetable Oil and Fat","1963","1963","1000 USD","2724","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5910","Export quantity","F1788","Vegetable Oil and Fat","1963","1963","t","150848","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1788","Vegetable Oil and Fat","1963","1963","1000 USD","30842","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5610","Import quantity","F1788","Vegetable Oil and Fat","1964","1964","t","7808","A","Official figure",""
